Accesion	Latitude	Longitude	Elevation
ECU17733	-0.100556	-78.380556	2242
ECU17734	-0.751667	-78.498056	2609
ECU17735	0.112778	-78.421111	1839
ECU17736	0.078056	-78.317500	2235
ECU17737	0.388889	-77.953889	1975
ECU17740	0.359722	-78.216111	2370
ECU17741	0.365556	-78.089722	2240
ECU17743	0.383056	-78.145833	2012
ECU17744	0.385278	-78.203056	2140
ECU17746	0.474722	-78.199167	2078
ECU17747	0.506389	-78.180278	2276
ECU17748	0.460278	-78.193611	2163
ECU17749	0.413333	-77.911944	1823
ECU17750	0.397778	-78.060278	2205
ECU17751	0.041667	-78.402778	2086
ECU17752	-1.036667	-78.589444	2647
ECU17753	-1.643889	-78.587222	2678
ECU17755	-1.602222	-78.618611	2730
ECU17756	-1.748333	-78.625556	2666
ECU17757	-0.916389	-78.708889	2488
ECU17758	-0.953889	-78.615000	2538
ECU17759	-1.111944	-78.570556	2428
ECU17761	-1.312778	-78.506389	2428
ECU17763	-3.956111	-79.212778	2046
ECU17764	-3.983611	-79.237500	2238
ECU17765	-3.978889	-79.223889	2152
ECU17766	-3.948889	-79.448056	1885
ECU17767	-3.966944	-79.468056	2064
ECU17768	-4.130833	-79.405556	1909
ECU17769	-4.262222	-79.225278	1579
ECU17770	-3.941667	-79.432500	2119
ECU17771	-0.139167	-78.410000	2386
ECU17772	-1.640833	-78.988889	2540
ECU17773	-2.803611	-78.871667	2590
ECU17774	-2.980000	-78.768611	2384
ECU17775	-2.846667	-78.798611	2267
ECU17776	-1.618056	-78.609722	2615
ECU17777	-2.135000	-78.783611	2054
ECU17778	-1.873056	-78.615556	2915
