Accesion;alt;Rad_anual;Vel_viento;Min_temp_mes_mas_frio;Prec_anual;Prec_mes_mas_seco;Rango_prom_temp_diurnas;Disp_agua_cap_h1;CIC;arena;limo;pH
ECU-17733;2242.00;16256.5;2.25;8.4;742;9;14;16.95;28.02;47.1;33.22;7.16
ECU-17734;2609.00;13569;3.58;2.7;965;40;10.1;17.85;23.9;53.28;31.7;5.91
ECU-17735;1839.00;15584.92;2.04;9.9;767;10;12.4;17.88;22.17;51.88;33;6.56
ECU-17736;2235.00;13900.08;3;4.9;1046;20;10.8;18.17;23.35;41.83;37.58;5.68
ECU-17737;1975.00;15334.67;2.17;8.2;697;35;12.1;16.98;26.75;40.33;34.45;6.15
ECU-17740;2370.00;15140.75;2.17;8.2;783;14;12.7;19.55;26.4;43.7;33.88;6.31
ECU-17741;2240.00;14719.25;2.16;8.4;632;18;12.4;17.85;23.25;40.1;35.03;6.18
ECU-17743;2012.00;15109.5;1.92;10.7;532;9;11.8;15.68;27.98;40.2;32.9;6.39
ECU-17744;2140.00;15091.67;2.1;9.5;711;12;12.1;18.63;28.38;39.65;34.22;6.05
ECU-17746;2078.00;15097.17;1.96;9.7;810;15;11.9;16.33;38.4;37.38;34;6.26
ECU-17747;2276.00;15366.42;2.06;9.2;858;17;11.9;15.55;31.85;38.42;33.22;6.21
ECU-17748;2163.00;15122.83;1.98;9.9;755;13;11.8;17.33;37.03;39.45;32.42;6.3
ECU-17749;1823.00;14229.67;1.97;10;592;29;11.8;16.08;25.2;48;31.73;6.82
ECU-17750;2205.00;15109.42;2.08;8.9;612;18;12.1;17.85;36.55;42.9;36.42;6.46
ECU-17751;2086.00;15864.08;2.17;8.9;779;10;13.2;16.23;26.63;46.88;31.23;6.54
ECU-17752;2647.00;13983.83;2.76;7.3;541;23;11.6;16.5;24.45;44;32.42;6.8
ECU-17753;2678.00;14812.17;2.53;8;589;30;11.7;13.95;30.08;37.4;31.67;6.61
ECU-17755;2730.00;14373;2.65;7.2;529;24;11.8;16.7;24.08;36.1;33.47;6.56
ECU-17756;2666.00;14964.42;2.6;7.1;647;29;12;15.85;21.67;42.15;33.67;6.28
ECU-17757;2488.00;15151.92;3.19;5;592;14;11;18.63;36.25;50.65;35.95;5.93
ECU-17758;2538.00;15142.42;2.85;6.8;522;18;11.6;16.65;24.25;42.4;33.45;6.58
ECU-17759;2428.00;14822.58;2.66;7.9;556;29;11.6;16.38;29.8;43.2;31.42;6.72
ECU-17761;2428.00;13480.92;2.4;10.1;888;51;10.7;15.75;21.27;39.97;31.67;6.33
ECU-17763;2046.00;13497.33;2.48;11.1;1073;59;10.1;15.73;27.45;41.97;28.65;6.23
ECU-17764;2238.00;14215.08;2.58;10.5;992;45;10.1;15.9;25.7;40.13;30.35;5.86
ECU-17765;2152.00;14128.25;2.56;10.6;990;50;10;16.3;25.55;44.35;28.1;6.32
ECU-17766;1885.00;15299.83;2.47;11.7;982;13;11.4;14.65;17.85;40.22;26.55;5.96
ECU-17767;2064.00;15031.83;2.69;9.9;1106;17;10.6;14.52;15.35;42.33;24.55;5.36
ECU-17768;1909.00;15276.5;2.51;11.4;1082;16;11.7;14.65;18.27;38.4;27.23;5.76
ECU-17769;1579.00;14945.58;2.25;13.4;770;14;13.5;15.07;22.4;44.63;27.23;5.77
ECU-17770;2119.00;15278.67;2.28;13.6;870;7;12.2;13.98;18.08;41.63;27.1;6.27
ECU-17771;2386.00;16344.08;2.43;7.4;858;11;14.7;17.08;20.25;45.13;32.1;6.78
ECU-17772;2540.00;15366;2.62;6.2;832;7;11.6;17.65;22.17;45.75;31.48;6.48
ECU-17773;2590.00;14991;2.37;9.2;785;31;12.3;14.77;27.65;40.6;30;6.46
ECU-17774;2384.00;13057.75;2.47;8.6;816;48;11.6;16.77;33.35;45.65;29.48;6.18
ECU-17775;2267.00;14770;2.58;7.7;840;51;11.2;15.75;22.23;45.3;28.45;6.08
ECU-17776;2615.00;14473.67;2.55;7.8;538;25;11.7;15.3;22.7;34.2;33.25;6.52
ECU-17777;2054.00;15588.25;2.99;4.5;626;21;11;16.92;23.67;45.33;30.33;6.66
ECU-17778;2915.00;14992.25;2.73;6.2;908;53;12.2;15.52;41.63;44.1;34.13;6.28
