Matrix of distances (km) between accessions of the Ecuadorian collection of guarango;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Accesion;ECU-17733;ECU-17734;ECU-17735;ECU-17736;ECU-17737;ECU-17740;ECU-17741;ECU-17743;ECU-17744;ECU-17746;ECU-17747;ECU-17748;ECU-17749;ECU-17750;ECU-17751;ECU-17752;ECU-17753;ECU-17755;ECU-17756;ECU-17757;ECU-17758;ECU-17759;ECU-17761;ECU-17763;ECU-17764;ECU-17765;ECU-17766;ECU-17767;ECU-17768;ECU-17769;ECU-17770;ECU-17771;ECU-17772;ECU-17773;ECU-17774;ECU-17775;ECU-17776;ECU-17777;ECU-17778;;
ECU-17733;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17734;73.17;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17735;24.02;95.97;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17736;20.96;93.92;12.16;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17737;72.01;139.91;60.31;53.10;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17740;54.09;126.84;35.59;33.13;29.37;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17741;60.86;131.63;46.28;40.66;15.34;14.08;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17743;59.52;131.45;42.80;38.76;21.38;8.24;6.54;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17744;57.24;129.93;38.69;36.28;27.74;3.18;12.80;6.37;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17746;66.74;139.63;47.03;45.80;28.91;12.86;17.15;11.75;9.90;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17747;70.72;143.54;51.12;49.77;28.35;16.70;18.55;14.17;13.63;4.08;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ECU-17748;65.41;138.23;46.02;44.46;27.83;11.40;15.60;10.06;8.36;1.71;5.31;0.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
