Nro.;Environmental variables used in the DIVMAPS module of CAPFITOGEN3
1;Altitude (m.a.s.l.) 
2;Annual Solar Radiation (kJ m−2) 
3;Wind Speed (km h−1) 
4;Maximum Temperature of Warmest Month (◦C) 
5;Minimum Temperature of Coldest Month (◦C) 
6;Annual Precipitation (mm) 
7;Precipitation of Driest Month (mm) 
8;Mean Diurnal Temperature Range (◦C) 
9;Annual Temperature Range (◦C) 
10;Mean Annual Temperature (◦C) 
11;Mean Temperature of Wettest Quarter (◦C) 
12;Mean Temperature of Warmest Quarter (◦C) 
13;Mean Temperature of Coldest Quarter (◦C) 
14;Available Water Capacity—Topsoil Horizon 1 (%) 
15;Available Water Capacity—Topsoil Horizon 2 (%) 
16;Available Water Capacity—Topsoil Horizon 3 (%) 
17;Cation Exchange Capacity—Topsoil (cmol kg−1) 
18;Clay Content (%) 
19;Sand Content (%) 
20;Silt Content (%) 
21;Soil pH inWater 
