ACCENUMB	HB14_720	HB14_900	HB14_1100	HB11_690	HB11_1100	HB11_1200	HB11_1650	17899A_1150	17899A_1300
17733_1	1	1	1	1	1	1	1	1	1
17733_2	1	0	1	0	0	1	1	0	0
17733_3	1	1	1	0	1	0	1	1	1
17733_4	1	0	1	1	1	1	0	0	0
17733_5	1	1	1	0	1	1	0	1	1
17733_6	1	1	1	0	1	1	1	1	1
17734_1	1	1	1	0	1	1	1	1	1
17734_2	1	1	1	0	1	1	1	1	1
17734_3	1	1	1	0	1	1	1	1	1
17734_4	1	1	1	0	1	1	1	1	1
17734_5	1	1	1	0	1	0	1	1	1
17734_6	1	1	1	0	1	1	1	1	1
17735_1	1	0	1	0	1	1	1	1	1
17735_2	1	1	1	1	1	0	0	1	1
17735_3	1	1	1	0	1	1	1	1	1
17735_4	1	0	1	0	1	1	0	0	0
17735_5	1	1	1	0	1	0	1	1	1
17735_6	1	1	1	0	1	0	1	1	1
17736_1	1	1	1	0	1	1	1	1	1
17736_3	1	0	1	0	1	1	1	1	1
17736_4	1	1	1	0	1	1	1	1	1
17736_5	1	1	1	0	1	1	1	1	1
17736_6	1	1	1	0	1	1	1	1	1
17737_1	1	1	1	0	1	1	1	1	1
17737_3	1	1	1	0	1	1	1	1	1
17737_4	1	1	1	0	1	1	1	1	1
17737_5	1	1	1	0	1	1	1	1	1
17737_6	1	1	1	0	1	1	1	1	1
17740_1	1	1	1	0	1	1	1	1	1
17740_2	1	1	1	0	1	0	1	1	1
17740_3	1	1	1	0	1	1	1	1	1
17740_4	1	0	0	0	1	1	1	0	0
17740_5	1	1	1	0	1	0	1	1	1
17740_6	1	1	1	0	1	1	1	1	1
17741_1	1	1	1	1	1	0	1	1	1
17741_2	1	1	1	0	1	1	0	1	1
17741_3	1	1	1	0	1	0	1	1	1
17741_5	1	1	1	0	1	1	1	1	1
17741_6	1	1	1	0	1	1	1	1	1
17743_1	1	1	1	0	1	1	1	1	1
17743_3	1	1	1	0	1	0	0	1	1
17743_5	1	1	1	0	1	1	1	1	1
17743_6	1	1	1	0	1	1	1	1	1
17744_1	1	1	1	0	1	1	1	1	1
17744_2	1	1	1	0	1	1	1	1	1
17744_3	1	1	1	0	1	1	1	1	1
17744_5	1	1	1	0	1	0	1	1	1
17744_6	1	1	1	0	1	1	1	1	1
17746_1	1	0	1	0	1	1	1	1	1
17746_3	1	0	1	0	1	1	1	1	1
17746_4	1	1	1	0	1	1	1	1	1
17746_6	1	1	1	0	1	1	1	1	1
17747_1	1	1	1	0	1	1	1	1	1
17747_2	1	1	1	0	1	1	1	1	1
17747_3	1	1	1	0	1	1	0	1	1
17747_4	1	1	1	1	0	1	0	1	1
17747_5	1	1	1	0	1	0	1	1	1
17747_6	1	1	1	0	1	1	1	1	1
17748_1	1	1	1	0	1	1	1	1	1
17748_3	1	1	1	0	1	0	0	1	1
17748_4	0	0	1	1	1	1	0	1	1
17748_5	1	1	1	0	1	1	1	1	1
17748_6	1	1	1	0	1	1	1	1	1
17749_1	1	1	1	0	1	1	1	1	1
17749_2	1	1	1	0	1	1	1	1	1
17749_3	1	1	1	1	1	0	1	1	1
17749_4	1	1	1	0	1	1	1	1	1
17749_5	1	1	1	0	1	1	1	1	1
17749_6	1	1	1	0	1	1	1	1	1
17750_1	1	0	1	0	1	1	0	1	1
17750_2	1	1	1	0	1	0	1	1	1
17750_3	1	1	1	0	1	1	0	1	1
17750_4	1	1	1	0	1	1	0	1	1
17750_5	1	0	1	0	1	0	0	1	1
17750_6	1	1	1	0	1	1	1	1	1
17751_1	1	1	1	0	1	1	1	1	1
17751_2	1	1	1	0	1	1	1	1	1
17751_3	1	1	1	0	0	1	1	1	1
17751_4	1	1	1	1	1	1	1	1	1
17751_6	1	1	1	0	1	1	1	1	1
17752_1	1	1	1	0	1	1	1	1	1
17752_2	1	1	1	0	1	1	1	1	1
17752_3	1	1	1	0	1	1	1	1	1
17752_4	1	1	1	0	1	1	1	1	1
17752_5	1	1	1	0	1	1	1	1	1
17752_6	1	1	1	0	1	1	1	1	1
17753_1	1	1	1	1	1	1	1	1	1
17753_2	1	1	1	0	0	1	1	1	1
17753_3	1	1	1	0	1	1	1	1	1
17753_4	1	1	1	0	1	1	1	1	1
17753_5	1	1	1	0	0	1	1	1	1
17753_6	1	1	1	0	1	1	1	1	1
17755_1	1	1	1	0	1	1	1	1	1
17755_2	1	1	1	0	1	1	1	1	1
17755_3	1	1	1	0	0	1	1	1	1
17755_4	1	1	1	0	1	1	1	1	1
17755_5	1	1	1	0	1	1	1	1	1
17755_6	1	1	1	0	1	1	1	1	1
17756_1	1	1	1	0	1	1	1	1	1
17756_2	1	1	1	0	1	1	1	1	1
17756_3	1	1	1	0	1	1	1	1	1
17756_4	1	1	1	0	1	1	1	1	1
17756_5	1	1	1	0	1	1	1	1	1
17756_6	1	1	1	0	1	1	1	1	1
17757_1	1	1	1	0	1	1	1	1	1
17757_2	1	1	1	0	1	1	1	1	1
17757_3	1	1	1	0	1	1	1	1	1
17757_4	1	1	1	0	1	1	1	1	1
