ACCENUMB	FD	B	BT	GH	WS	CD_N-S	CD_E-W	HFF	TH	DC
17733_1	3	2	2	2	3	200	230	18	280	43.63
17733_2	3	2	2	2	3	280	270	0	272	46.2
17733_3	2	2	2	2	4	300	280	9	305	35.86
17733_4	2	2	1	2	3	170	150	60	255	35.74
17733_5	2	2	2	2	3	210	230	40	280	40.89
17733_6	2	2	3	2	4	300	280	40	310	42.26
17734_1	3	3	2	2	2	100	80	15	136	30.64
17734_2	2	2	1	1	2	60	50	13	125	19.6
17734_3	3	3	2	2	3	80	80	0	163	29.63
17734_4	3	3	1	1	2	40	40	0	75	16.84
17734_5	2	2	1	2	3	190	200	31	142	28.87
17734_6	1	1	2	2	4	290	260	20	255	39.42
17735_1	3	3	2	2	2	110	40	59	235	29.92
17735_2	3	3	2	2	3	170	150	113	325	40.55
17735_3	1	1	3	2	3	250	250	0	290	37.19
17735_4	2	2	2	2	2	250	210	0	321	40.61
17735_5	3	3	2	2	2	90	130	85	215	31.06
17735_6	3	3	2	2	2	150	170	0	238	32.92
17736_1	3	3	2	1	3	80	70	72	160	20.85
17736_3	3	3	2	2	2	50	70	7	158	19.5
17736_4	2	2	2	2	3	80	120	0	163	21.38
17736_5	3	3	3	2	2	110	100	65	190	24.09
17736_6	3	3	2	2	2	90	90	65	180	25.52
17737_1	3	3	1	2	2	170	150	15	235	38.44
17737_3	3	3	3	1	2	130	50	10	183	23.82
17737_4	2	2	3	2	3	270	213	13	210	24.59
17737_5	2	2	1	2	4	190	210	33	215	35.86
17737_6	2	2	1	2	3	210	260	26	310	42.65
17740_1	2	2	1	1	2	20	20	8	39	9.89
17740_2	2	2	1	1	2	50	50	12	105	19.3
17740_3	2	2	3	2	3	190	180	33	230	31.28
17740_4	3	3	1	2	3	100	90	43	118	26.83
17740_5	2	2	1	2	4	210	190	0	175	31.4
17740_6	1	1	1	2	3	110	110	9	140	29.99
17741_1	3	3	2	2	2	90	70	11	205	25.37
17741_2	3	3	2	2	2	70	130	14	210	32.01
17741_3	2	2	3	2	3	160	220	53	260	35.55
17741_5	2	2	3	2	3	150	190	57	290	36.25
17741_6	2	2	2	2	2	100	170	30	235	38.4
17743_1	3	3	3	1	3	60	170	44	250	26.88
17743_3	3	3	2	2	2	70	130	33	190	29.46
17743_5	2	2	1	2	3	220	200	18	203	36.73
17743_6	3	3	2	2	3	220	240	17	260	45.82
17744_1	3	3	2	1	2	90	70	42	144	18.82
17744_2	3	3	2	1	2	40	40	15	95	19.17
17744_3	2	2	2	2	3	100	130	37	210	27.92
17744_5	3	3	2	1	4	40	110	6	180	25.49
17744_6	3	2	2	2	3	120	120	45	220	23.98
17746_1	3	3	1	2	2	50	70	30	169	29.51
17746_3	3	2	2	2	2	70	50	5	135	18.68
17746_4	2	2	1	1	2	40	40	0	60	13.47
17746_6	2	2	1	1	1	40	40	9	30	9.02
17747_1	3	3	3	1	2	50	60	10	140	22.02
17747_2	3	3	2	2	2	65	80	69	142	23.94
17747_3	3	3	2	2	3	90	90	14	164	26.42
17747_4	2	2	3	2	3	160	180	27	210	26.97
17747_5	2	2	2	2	4	170	230	0	233	37.03
17747_6	2	2	2	2	3	160	130	14	192	27.93
17748_1	3	3	1	1	2	50	60	41	155	18.86
17748_3	3	3	1	1	2	70	60	17	95	19.48
17748_4	3	3	1	2	2	70	60	14	165	30
17748_5	3	3	1	1	3	80	80	24	140	24.97
17748_6	3	3	2	2	3	110	110	0	182	25.95
17749_1	3	3	2	2	2	100	70	13	195	33.43
17749_2	2	2	3	1	2	80	70	7	130	18.47
17749_3	3	3	1	1	2	80	60	9	120	21.31
17749_4	2	2	2	2	3	120	150	15	177	23.99
17749_5	3	3	1	2	3	80	80	16	190	33.8
17749_6	3	3	2	2	3	70	120	27	180	28.44
17750_1	3	2	2	2	3	230	220	38	245	36.79
17750_2	3	2	2	2	3	220	170	0	202	42.2
17750_3	2	2	1	2	4	250	260	27	244	35.11
17750_4	1	1	2	2	2	300	270	15	290	44.31
17750_5	2	2	1	2	4	230	250	54	275	50.99
17750_6	2	2	3	2	4	200	220	50	255	32.09
17751_1	2	2	1	2	3	129	120	10	117	24.92
17751_2	2	2	2	1	2	60	60	0	105	17.13
17751_3	2	2	2	1	2	80	50	26	130	22.22
17751_4	3	3	1	1	2	40	40	14	128	17.7
17751_6	3	2	3	2	2	70	100	12	152	23.58
17752_1	3	3	2	2	3	100	100	66	202	25.22
17752_2	3	3	3	2	4	140	120	8	260	24.7
17752_3	3	3	2	1	2	70	80	24	155	26.69
17752_4	3	3	1	1	3	50	80	12	61	13.42
17752_5	3	3	2	2	2	100	40	17	200	24.61
17752_6	3	3	1	1	2	30	30	18	60	9.02
17753_1	3	3	2	2	3	180	90	6	230	28.97
17753_2	3	3	2	2	3	345	170	34	280	41.55
17753_3	2	3	2	2	2	70	130	15	210	25.86
17753_4	3	3	2	2	2	70	70	20	116	24.84
17753_5	3	3	3	1	2	40	120	71	195	23.95
17753_6	3	3	2	1	2	60	110	15	182	24.66
17755_1	3	3	1	1	2	70	90	27	150	20
17755_2	3	3	2	1	3	110	70	11	150	19.34
17755_3	3	3	2	2	2	90	70	18	190	22.3
17755_4	2	2	3	2	3	130	120	11	210	28.53
17755_5	2	2	2	2	2	110	70	69	230	26.56
17755_6	3	3	2	2	2	60	70	13	152	21.76
17756_1	3	3	1	2	2	70	110	7	185	23.63
17756_2	2	3	2	1	2	60	50	10	83	12.42
17756_3	3	3	2	2	2	60	40	39	190	19.25
17756_4	3	3	2	1	2	90	80	26	173	22.55
17756_5	3	2	2	3	3	110	120	12	206	24.92
17756_6	3	2	1	2	3	90	130	27	200	30.6
17757_1	2	2	2	1	1	50	40	NA	110	16.04
17757_2	2	2	2	1	2	40	50	9	120	17.43
17757_3	3	3	2	1	2	100	120	13	160	24.1
17757_4	2	2	2	2	3	100	120	11	108	21.95
17757_5	2	2	2	1	2	100	40	6	160	24.09
17757_6	3	2	1	2	3	100	100	46	142	22.21
17758_1	3	3	2	2	2	100	120	81	215	33.83
17758_3	2	2	2	2	3	120	180	11	185	35.9
17758_4	3	3	2	2	2	90	90	21	165	24.25
17758_5	2	2	3	2	4	100	130	30	200	27.95
17758_6	3	3	1	1	3	70	70	0	132	18
17759_1	2	2	3	2	2	90	70	87	200	26.36
17759_2	2	2	3	2	2	60	90	29	165	26.9
17759_4	3	3	2	1	2	40	50	0	142	19.55
17759_5	2	2	3	2	3	80	150	47	195	26.31
17761_1	2	2	1	2	3	110	130	31	128	21.72
17761_2	2	2	2	1	2	50	40	0	65	11.94
17761_3	2	2	3	2	4	120	140	21	170	25.44
17761_4	3	3	2	2	2	140	120	31	178	27.38
17761_5	2	2	2	2	3	210	300	40	300	50.24
17761_6	1	1	2	2	4	260	290	30	370	51.12
17763_1	3	3	2	1	3	70	110	81	180	27.07
17763_2	2	2	2	2	3	110	120	19	145	20.95
17763_3	2	2	2	2	2	70	70	5	100	19.64
17763_4	2	2	1	1	2	90	90	15	110	23.32
17763_5	3	3	2	2	3	170	140	20	215	38.14
17763_6	2	2	1	2	2	140	120	8	173	25.66
17764_3	2	3	3	2	2	90	130	10	210	26.64
17764_4	3	3	2	1	2	90	80	10	142	20.17
17764_5	2	2	1	1	2	70	70	9	152	22.66
17764_6	2	2	1	2	2	70	70	7	127	21.27
17765_1	3	2	2	2	2	150	160	10	252	31.69
17765_2	2	2	2	2	2	120	90	27	180	21.34
17765_3	3	2	2	1	2	120	140	14	200	26.96
17765_4	3	3	2	1	2	40	90	6	157	22.76
17765_5	2	2	1	2	2	60	110	11	145	20.78
17765_6	2	2	1	1	2	60	40	27	53	12.86
17766_1	3	3	1	1	1	70	70	9	83	15.01
17766_2	2	2	1	1	2	60	90	10	95	18.07
17766_3	2	2	1	2	4	230	200	8	190	31.4
17766_4	2	2	3	2	4	260	270	14	290	41.11
17766_5	2	2	1	2	3	140	170	13	170	35.91
17766_6	2	2	3	2	4	180	190	20	140	29.44
17767_1	3	3	2	2	2	90	90	58	171	21.14
17767_2	3	3	2	2	2	80	100	0	160	24.93
17767_3	2	2	3	2	2	100	100	63	110	21.99
17767_4	2	2	1	1	2	60	80	12	172	24.25
17767_6	3	3	2	1	2	100	100	9	144	18.4
17768_1	3	3	3	1	2	110	70	23	152	26.71
17768_2	2	2	2	1	2	60	100	7	140	20.4
17768_3	1	1	1	2	3	260	250	16	210	44.18
17768_4	1	1	1	2	3	310	290	33	212	45.6
17768_5	2	2	1	1	2	50	50	5	105	23.33
17768_6	2	2	1	1	2	40	40	0	90	17.91
17769_1	3	3	2	1	2	50	70	0	182	31.9
17769_2	2	2	2	2	2	90	80	0	143	18.58
17769_3	2	2	2	2	3	130	180	14	192	30.6
17769_4	2	2	1	2	3	280	190	0	225	33.05
17769_6	3	3	1	2	2	50	90	9	142	24.18
17770_1	3	3	1	2	2	110	130	0	165	30.47
17770_2	3	3	2	1	2	80	70	5	145	22.07
17770_3	3	2	3	2	4	90	120	6	150	26.45
17770_4	1	1	2	2	3	200	180	13	205	34.93
17770_5	2	2	3	2	2	110	90	30	143	25.4
17770_6	2	2	2	2	3	130	90	15	174	29.84
17771_1	2	2	2	2	2	100	130	6	185	28.14
17771_2	2	2	2	2	2	120	150	0	171	29.38
17771_3	3	2	2	1	2	100	80	24	165	26.31
17771_4	2	2	2	1	2	60	90	8	103	16.94
17771_5	3	3	3	2	2	130	140	66	193	26.13
17771_6	3	3	1	1	1	50	50	NA	120	18.13
17772_2	3	3	2	2	2	110	110	8	135	17.51
17772_3	3	3	1	2	2	100	80	7	178	23.95
17772_4	3	3	1	2	2	70	70	51	152	19.57
17772_5	2	2	2	2	3	70	100	72	182	22.95
17772_6	2	2	2	2	3	60	70	21	157	26.8
17773_1	2	2	3	2	4	170	120	23	197	28.84
17773_2	3	3	2	2	3	100	70	22	177	22.58
17773_3	2	2	2	1	2	40	60	50	102	15.95
17773_4	2	2	2	2	3	190	260	36	270	39.56
17773_6	2	2	2	2	3	100	130	34	203	29.61
17774_1	2	3	1	1	1	40	50	0	47	8.87
17774_2	2	2	1	2	1	130	120	13	110	19.86
17774_3	2	2	2	1	2	50	50	7	65	14.62
17774_4	2	2	2	1	2	70	50	9	88	19.19
17774_5	2	2	1	1	3	70	90	11	85	20.53
17774_6	2	2	2	2	2	100	80	9	165	26.18
17775_1	3	3	3	1	2	130	120	50	143	23.86
17775_2	2	2	1	1	2	40	40	13	115	19.17
17775_3	2	2	3	1	4	80	120	11	187	26.82
17775_4	3	3	1	1	2	70	40	30	105	17.58
17775_5	2	2	1	2	1	90	120	56	190	30.5
17775_6	1	1	2	2	3	220	230	20	248	44.09
17776_1	3	3	2	1	2	90	90	8	155	23.49
17776_2	3	3	2	1	2	60	80	16	132	17.3
17776_3	2	2	2	2	3	240	170	27	242	30.89
17776_4	1	1	3	2	3	210	240	17	250	38.99
17776_5	1	1	2	2	3	200	210	10	250	31.44
