Accesion;Aguijones;L_foliolo;L_raquis;N_foliolulos;L_foliolulo;A_foliolulo;N_Foliolos;AT;DAC;Corteza_166A;Corteza_166B;Haz_146A;Haz_146B;Enves_146B;Enves_146C;Sem_200A;Sem_200B;Sem_200C;Sem_200D;Peso_50_semillas;Grosor;Largo;Ancho;Largo_Ancho;Germinacion;Tetrazolio
ECU-17733;4.166666667;112.1666667;108.3333333;14;26.66666667;11.83333333;8;208.6666667;21.87666667;0;1;1;0;0;1;1;0;0;0;14.1;5.01;10.0429;7.970366667;1.264982988;40;60
ECU-17734;3.5;90.16666667;71.66666667;12.66666667;19;8.5;7;111.1666667;17.08666667;1;0;1;0;1;0;0;1;0;0;11.6;4.803;9.3818;7.4728;1.258530532;13.33333333;40
ECU-17735;3.5;118.3333333;103.6666667;14.33333333;24.33333333;10.5;8.666666667;175.8333333;19.78166667;0;1;1;0;0;1;1;0;0;0;12.4;4.980333333;9.596733333;7.328833333;1.315240677;73.33333333;100
ECU-17736;2.833333333;92.16666667;100.8333333;13.66666667;18.83333333;9;9.333333333;105.2;15.322;1;0;1;0;1;0;1;0;0;0;13.4;4.885;9.420966667;7.953133333;1.18736324;6.666666667;60
ECU-17737;3.5;106.6666667;111;14.33333333;21.83333333;9;8.666666667;141.3333333;19.54833333;1;0;1;0;0;1;0;1;0;0;11.9;4.447666667;9.6077;7.842933333;1.227178959;33.33333333;40
ECU-17740;3.333333333;75.83333333;69.5;12;18;7.666666667;7.333333333;100.3333333;16.605;0;1;1;0;1;0;0;1;0;0;15.5;5.102666667;10.54093333;8.173133333;1.295304547;26.66666667;20
ECU-17741;4;110.8333333;112;13.66666667;24.5;10.66666667;8.666666667;166.1666667;20.03333333;0;1;1;0;0;1;0;1;0;0;13.7;5.054333333;9.668066667;7.8659;1.237382314;40;40
ECU-17743;3.666666667;111;90.5;13.33333333;24.33333333;10.66666667;7.666666667;146.5;19.59833333;0;1;1;0;0;1;0;1;0;0;14;5.107;9.7954;7.723933333;1.274770837;40;20
ECU-17744;3.5;70;70;11;18.66666667;8.666666667;8;110.3333333;14.95333333;1;0;1;0;1;0;0;1;0;0;14.6;5.065;9.698766667;8.011366667;1.215147031;33.33333333;60
ECU-17746;3.666666667;60.5;59.16666667;12.33333333;13.66666667;6.5;7;71.4;12.004;1;0;0;1;0;1;1;0;0;0;13.6;5.136;9.615433333;7.472266667;1.292524511;33.33333333;80
ECU-17747;4.166666667;82.5;79.5;13.33333333;17.5;8.333333333;6.833333333;122.1666667;16.65333333;1;0;1;0;0;1;0;0;1;0;13.7;5.107666667;9.998833333;7.374666667;1.365103904;53.33333333;100
ECU-17748;3.666666667;95.83333333;95;14.33333333;20.16666667;8.5;9;108.5;14.57833333;1;0;1;0;0;1;0;1;0;0;13.7;5.137333333;9.7505;7.7481;1.264186007;46.66666667;40
ECU-17749;3.5;110.8333333;120;13.66666667;21.83333333;9.833333333;9.666666667;107.1666667;14.29833333;1;0;1;0;0;1;0;0;1;0;12;4.542666667;9.602566667;7.716766667;1.248523621;40;60
ECU-17750;4;109.1666667;111.1666667;13.33333333;24;11.66666667;9.333333333;161.8333333;20.3;0;1;1;0;0;1;0;1;0;0;13;5.158666667;9.726666667;7.499833333;1.300594227;53.33333333;100
ECU-17751;3.333333333;77.5;72.5;12.66666667;17.16666667;9.166666667;8;77.2;12.76;1;0;0;1;0;1;0;1;0;0;10.6;4.334;9.459766667;7.5556;1.254627146;13.33333333;80
ECU-17752;3.333333333;100;85.83333333;13.33333333;21.33333333;9.5;7.333333333;100;13.85;1;0;1;0;0;1;0;1;0;0;16;5.135666667;10.6288;8.1025;1.31789387;66.66666667;60
ECU-17753;3.5;106.6666667;113.3333333;14;24;10.66666667;9;141.6666667;16.92;1;0;1;0;0;1;0;1;0;0;14.3;4.983666667;9.8794;8.153133333;1.21595755;66.66666667;60
